index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,geometry
1287,parklandview,,Nursing and residential care facilities,Province of British Columbia,,8833,158 st,V4N2Y7,surrey,bc,8833 158th st surrey bc v4n 2y7,Surrey,5915004,59,49.1635267,-122.7846172,POINT (-122.7846172 49.1635267)
1288,parkside house,,Nursing and residential care facilities,Province of British Columbia,,1740,feltham rd,V8N2A3,victoria,bc,1740 feltham rd victoria bc v8n 2a3,Saanich,5917021,59,48.4762964,-123.3286197,POINT (-123.3286197 48.4762964)
1289,parkside intermediate care home,,Nursing and residential care facilities,Province of British Columbia,,788,ospika blvd,V2M6W5,prince george,bc,788 ospika blvd prince george bc v2m 6w5,Prince George,5953023,59,53.917385,-122.7952,POINT (-122.7952 53.917385)
1290,parktree house,,Nursing and residential care facilities,Province of British Columbia,,12229,parktree cres,V3X1Z9,surrey,bc,12229 parktree cres surrey bc v3x 1z9,Surrey,5915004,59,49.1161555,-122.8849992,POINT (-122.8849992 49.1161555)
1291,parkview place,,Nursing and residential care facilities,Province of British Columbia,,707,3 avenue,V0E1V0,enderby,bc,707 3 avenue enderby bc v0e 1v0,Enderby,5937033,59,50.5466217,-119.1407493,POINT (-119.1407493 50.5466217)
1292,parkview place enderby,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E1V0,enderby,bc,,Enderby,,59,,,
1293,parkway medical clinic,,Ambulatory health care services,Province of British Columbia,,835,langford parkway,V9B4V5,victoria,bc,835 langford parkway victoria bc v9b 4v5,Langford,5917044,59,48.441396,-123.504347,POINT (-123.504347 48.441396)
1294,parkwood court,,Nursing and residential care facilities,Province of British Columbia,,3000,shelbourne st,V8R4M8,victoria,bc,3000 shelbourne st victoria bc v8r 4m8,Victoria,5917034,59,48.4441795,-123.3338227,POINT (-123.3338227 48.4441795)
1295,paskin home,,Nursing and residential care facilities,Province of British Columbia,,761,paskin way,V8Z6N4,victoria,bc,761 paskin way victoria bc v8z 6n4,Saanich,5917021,59,48.4935158,-123.3925704,POINT (-123.3925704 48.4935158)
1296,path to freedom treatment centre ltd.,,Nursing and residential care facilities,Province of British Columbia,,19030,56 ave,V3S4N7,surrey,bc,19030 56th ave surrey bc v3s 4n7,Surrey,5915004,59,49.1042087,-122.6955133,POINT (-122.6955133 49.1042087)
1297,patterson home,,Nursing and residential care facilities,Province of British Columbia,,7882,patterson rd,V8M1L5,saanichton,bc,7882 patterson rd saanichton bc v8m 1l5,Central Saanich,5917015,59,48.5967597,-123.4153745,POINT (-123.4153745 48.5967597)
1298,peace arch district hospital,,Hospitals,Canadian Institute for Health Information,,15521,russell avenue,V4B2R4,white rock,bc,15521 russell avenue white rock bc v4b 2r4 canada,White Rock,5915007,59,49.029341,-122.792914,POINT (-122.792914 49.029341)
1299,peace arch hospital,extended care,Hospitals,Public Health Agency of Canada,,15521,russell ave,V4B2R4,white rock,bc,15521 russell ave. white rock bc v4b 2r4,White Rock,5915007,59,49.029968,-122.792231,POINT (-122.792231 49.029968)
1300,peace arch hospital - al hogg pavilion,,Hospitals,Province of British Columbia,,15521,russell avenue,V4B2R4,white rock,bc,15521 russell avenue white rock bc v4b 2r4,White Rock,5915007,59,49.029322,-122.792131,POINT (-122.792131 49.029322)
1301,peace arch hospital residential care,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4B2R4,white rock,bc,,White Rock,,59,,,
1302,peace portal seniors village,,Nursing and residential care facilities,Province of British Columbia,,15441,16 ave,V4A8T8,surrey,bc,15441 16th ave surrey bc v4a 8t8,Surrey,5915004,59,49.031282,-122.7945296,POINT (-122.7945296 49.031282)
1303,peace villa,,Nursing and residential care facilities,Province of British Columbia,,8407,112 ave,V1J0J5,fort st john,bc,8407 112 ave fort st. john bc v1j 0j5,Fort St. John,5955034,59,56.256732,-120.81792,POINT (-120.81792 56.256732)
1304,peach city medical and urgent care clinic,,Ambulatory health care services,Province of British Columbia,,166-2111,main street,V2A6W6,penticton,bc,166-2111 main street penticton bc v2a 6w6,Penticton,5907041,59,49.472813,-119.583878,POINT (-119.583878 49.472813)
1305,peardonville house treatment centre,,Nursing and residential care facilities,Province of British Columbia,,825,peardonville rd,V4X2K3,abbotsford,bc,825 peardonville rd abbotsford bc v4x 2k3,Abbotsford,5909052,59,49.0177352,-122.4065114,POINT (-122.4065114 49.0177352)
1306,pearl house,,Nursing and residential care facilities,Province of British Columbia,,1727,pearl st,V8X5L3,victoria,bc,1727 pearl st victoria bc v8x 5l3,Victoria,5917034,59,48.4417088,-123.3327607,POINT (-123.3327607 48.4417088)
1307,pemberton marine medical clinic,,Ambulatory health care services,Province of British Columbia,,1224,marine drive,V7P1T2,north vancouver,bc,1224 marine drive north vancouver bc v7p 1t2,North Vancouver,5915046,59,49.32489,-123.1098,POINT (-123.1098 49.32489)
1308,pender house,,Nursing and residential care facilities,Province of British Columbia,,2596,e pender st,V5K2B5,vancouver,bc,2596 e pender st vancouver bc v5k 2b5,Vancouver,5915022,59,49.279942,-123.052,POINT (-123.052 49.279942)
1309,pendleton house,,Nursing and residential care facilities,Province of British Columbia,,9580,pendleton road,V7E4N1,richmond,bc,9580 pendleton road richmond bc v7e 4n1,Richmond,5915015,59,49.1448543,-123.1772907,POINT (-123.1772907 49.1448543)
1310,peninsula medical clinic,,Ambulatory health care services,Province of British Columbia,,15388,24 avenue,V4A2J2,surrey,bc,15388 24th avenue surrey bc v4a 2j2,Surrey,5915004,59,49.045582,-122.796387,POINT (-122.796387 49.045582)
1311,penticton regional hospital,general,Hospitals,Public Health Agency of Canada,,550,carmi ave,V2A3G6,penticton,bc,550 carmi ave. penticton bc v2a 3g6,Penticton,5907041,59,49.4812182,-119.577927,POINT (-119.577927 49.4812182)
1312,peruzzo house - v.i.t.a.l.s.,,Nursing and residential care facilities,Province of British Columbia,,d-156,government st,V9L1A2,duncan,bc,d-156 government st duncan bc v9l 1a2,Duncan,5919012,59,48.777064,-123.70945,POINT (-123.70945 48.777064)
1313,peters road house,,Nursing and residential care facilities,Province of British Columbia,,1904,peters road,V7J1Y9,north vancouver,bc,1904 peters road north vancouver bc v7j 1y9,North Vancouver,5915046,59,49.341873,-123.0222214,POINT (-123.0222214 49.341873)
1314,phoenix center quibble creek,,Nursing and residential care facilities,Province of British Columbia,,13670,94a ave,V3V1N1,surrey,bc,13670 94a ave surrey bc v3v 1n1,Surrey,5915004,59,49.1745124,-122.8437601,POINT (-122.8437601 49.1745124)
1315,phoenix centre,,Nursing and residential care facilities,Province of British Columbia,,922,3 ave,V2C6W5,kamloops,bc,922 3 ave kamloops bc v2c 6w5,Kamloops,5933042,59,50.6693527,-120.3363635,POINT (-120.3363635 50.6693527)
1316,piccadilly care center,,Nursing and residential care facilities,Province of British Columbia,,821,10 ave sw,V1E1T2,salmon arm,bc,821 10 ave sw salmon arm bc v1e 1t2,Salmon Arm,5939032,59,50.6929509,-119.2955552,POINT (-119.2955552 50.6929509)
1317,piercy respite hotel,,Nursing and residential care facilities,Province of British Columbia,,1454,hillside ave,V8T2B7,victoria,bc,1454 hillside ave victoria bc v8t 2b7,Victoria,5917034,59,48.4425235,-123.342568,POINT (-123.342568 48.4425235)
1318,pine acres home,,Nursing and residential care facilities,Province of British Columbia,,1902,pheasant ln,V4T2H4,westbank,bc,1902 pheasant ln westbank bc v4t 2h4,Tsinstikeptum 9,5935802,59,49.839286,-119.59551,POINT (-119.59551 49.839286)
1319,pine grove lodge,,Nursing and residential care facilities,Province of British Columbia,,313,mcgowan avenue,V2B2N8,kamloops,bc,313 mcgowan avenue kamloops bc v2b 2n8,Kamloops,5933042,59,50.6874166,-120.3509428,POINT (-120.3509428 50.6874166)
1320,pinegrove place,,Nursing and residential care facilities,Province of British Columbia,,11331,mellis drive,V6X1L8,richmond,bc,11331 mellis drive richmond bc v6x 1l8,Richmond,5915015,59,49.1867925,-123.0984471,POINT (-123.0984471 49.1867925)
1321,pinetree lodge,,Nursing and residential care facilities,Province of British Columbia,,1370,el camino dr,V3E2W6,coquitlam,bc,1370 el camino dr coquitlam bc v3e 2w6,Coquitlam,5915034,59,49.2953317,-122.7795583,POINT (-122.7795583 49.2953317)
1322,pioneer house,,Nursing and residential care facilities,Province of British Columbia,,220,sherbrooke st,V3L3M2,new westminster,bc,220 sherbrooke st new westminster bc v3l 3m2,New Westminster,5915029,59,49.2273382,-122.8881385,POINT (-122.8881385 49.2273382)
1323,plateau medical clinic,,Ambulatory health care services,Province of British Columbia,,1410,parkway boulevard,V3E3J7,coquitlam,bc,1410 parkway boulevard coquitlam bc v3e 3j7,Coquitlam,5915034,59,49.297014,-122.803349,POINT (-122.803349 49.297014)
1324,pleasant valley health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,V0E1B2,armstrong,bc,,Armstrong,,59,,,
1325,pleasant valley manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E1B2,armstrong,bc,,Armstrong,,59,,,
1326,pleasant view (pleasant view housing society),,Nursing and residential care facilities,Province of British Columbia,,7530,hurd st,V2V3H9,mission,bc,7530 hurd st mission bc v2v 3h9,Mission,5909056,59,49.13839,-122.331857,POINT (-122.331857 49.13839)
1327,plymouth group home,,Nursing and residential care facilities,Province of British Columbia,,972,plymouth dr,V7H2J1,north vancouver,bc,972 plymouth dr north vancouver bc v7h 2j1,North Vancouver,5915046,59,49.3147181,-122.9920303,POINT (-122.9920303 49.3147181)
1328,point grey medical clinic,,Ambulatory health care services,Province of British Columbia,,4448,west 10 avenue,V6R2H9,vancouver,bc,4448 west 10th avenue vancouver bc v6r 2h9,Vancouver,5915022,59,49.26383,-123.207511,POINT (-123.207511 49.26383)
1329,polson,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1T5L2,vernon,bc,,Vernon,,59,,,
1330,ponderosa lodge,,Nursing and residential care facilities,Province of British Columbia,,425,columbia st,V2C2T4,kamloops,bc,425 columbia st kamloops bc v2c 2t4,Kamloops,5933042,59,50.670828,-120.331933,POINT (-120.331933 50.670828)
1331,poplar ridge pavilion,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1R4M1,trail,bc,,Trail,,59,,,
1332,port alice health centre,general,Hospitals,Public Health Agency of Canada,,1090,marine dr,V0N2N0,port alice,bc,1090 marine dr. port alice bc v0n 2n0,Port Alice,5943017,59,50.4260087,-127.4878351,POINT (-127.4878351 50.4260087)
1333,port hardy hospital,general,Hospitals,Public Health Agency of Canada,,9120,granville st,V0N2P0,port hardy,bc,9120 granville st. port hardy bc v0n 2p0,Port Hardy,5943023,59,50.7200118,-127.502909,POINT (-127.502909 50.7200118)
1334,port mcneill and district hospital,general,Hospitals,Public Health Agency of Canada,,2750,kingcome place,V0N2R0,port mcneill,bc,2750 kingcome place port mcneill bc v0n 2r0,Port McNeill,5943012,59,50.5806462,-127.0678577,POINT (-127.0678577 50.5806462)
1335,port mcneill hospital,,Hospitals,Province of British Columbia,,2750,kingcome place,V0N2R0,port mcneill,bc,2750 kingcome place port mcneill bc v0n 2r0,Port McNeill,5943012,59,50.58026,-127.067379,POINT (-127.067379 50.58026)
1336,porter lane,,Nursing and residential care facilities,Province of British Columbia,,1107,como lake ave,V3J3N9,coquitlam,bc,1107 como lake ave coquitlam bc v3j 3n9,Coquitlam,5915034,59,49.263972,-122.861325,POINT (-122.861325 49.263972)
1337,portsmouth road home,,Nursing and residential care facilities,Province of British Columbia,,6510,portsmouth rd,V9V1A3,nanaimo,bc,6510 portsmouth rd nanaimo bc v9v 1a3,Nanaimo,5921007,59,49.24003,-124.04648,POINT (-124.04648 49.24003)
1338,powell river general hospital,general,Hospitals,Public Health Agency of Canada,,5000,joyce ave,V8A5R3,powell river,bc,5000 joyce ave. powell river bc v8a 5r3,Powell River,5927008,59,49.8508263,-124.518391,POINT (-124.518391 49.8508263)
1339,powell river general hospital evergreen extended care unit,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8A5P2,powell river,bc,,Powell River,,59,,,
1340,prairie valley lodge,,Nursing and residential care facilities,Province of British Columbia,,10312,prairie valley rd,V0H1Z0,summerland,bc,10312 prairie valley rd summerland bc v0h 1z0,Summerland,5907035,59,49.597847,-119.68345,POINT (-119.68345 49.597847)
1341,prema place,,Nursing and residential care facilities,Province of British Columbia,,3273,mary anne cres,V9C3M3,victoria,bc,3273 mary anne cres victoria bc v9c 3m3,Colwood,5917041,59,48.424911,-123.50122,POINT (-123.50122 48.424911)
1342,primecare medical centre,,Ambulatory health care services,Province of British Columbia,,201-7315,edmonds street,V3N1A7,burnaby,bc,201-7315 edmonds street burnaby bc v3n 1a7,Burnaby,5915025,59,49.218846,-122.951615,POINT (-122.951615 49.218846)
1343,primrose centre for community living,,Nursing and residential care facilities,Province of British Columbia,,4807,georgia st,V4K2T1,delta,bc,4807 georgia st delta bc v4k 2t1,Delta,5915011,59,49.0904225,-123.088506,POINT (-123.088506 49.0904225)
1344,prince avenue home,,Nursing and residential care facilities,Province of British Columbia,,101,prince ave,V1N1C7,castlegar,bc,101 prince ave castlegar bc v1n 1c7,Castlegar,5903045,59,49.3290404,-117.6732208,POINT (-117.6732208 49.3290404)
1345,prince george regional hospital,general,Hospitals,Public Health Agency of Canada,,1475,edmonton st,V2M1S2,prince george,bc,1475 edmonton st. prince george bc v2m 1s2,Prince George,5953023,59,53.9113826,-122.7644758,POINT (-122.7644758 53.9113826)
1346,prince rupert regional hospital,general,Hospitals,Public Health Agency of Canada,,1305,summit ave,V8J2A6,prince rupert,bc,1305 summit ave. prince rupert bc v8j 2a6,Prince Rupert,5947012,59,54.3044463,-130.331503,POINT (-130.331503 54.3044463)
1347,princeton general hospital,general,Hospitals,Public Health Agency of Canada,,98,ridgewood,V0X1W0,princeton,bc,98 ridgewood princeton bc v0x 1w0,Princeton,5907024,59,49.4540952,-120.526738,POINT (-120.526738 49.4540952)
1348,priory (hiscock & heritage woods),long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9B2W4,victoria,bc,,Victoria,,59,,,
1349,providence health care (administrative office) - st. paul's hospital,general,Hospitals,Public Health Agency of Canada,,1081,burrard st,V6Z1Y6,vancouver,bc,1081 burrard st. vancouver bc v6z 1y6,Vancouver,5915022,59,49.280516,-123.1281872,POINT (-123.1281872 49.280516)
1350,providence health care - holy family hospital,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,7801,argyle st,V5P3L6,vancouver,bc,7801 argyle st. vancouver bc v5p 3l6,Vancouver,5915022,59,49.212701,-123.07308,POINT (-123.07308 49.212701)
1351,providence health care - mount saint joseph hospital,general,Hospitals,Public Health Agency of Canada,,3080,prince edward st,V5T3N4,vancouver,bc,3080 prince edward st. vancouver bc v5t 3n4,Vancouver,5915022,59,49.258002,-123.095299,POINT (-123.095299 49.258002)
1352,providence health care st vincents: brock fahrni,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6H4J4,vancouver,bc,,Vancouver,,59,,,
1353,providence health care st vincents: langara,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5X4V4,vancouver,bc,,Vancouver,,59,,,
1354,providence health care youville residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5Z3L9,vancouver,bc,,Vancouver,,59,,,
1355,purcell place,,Nursing and residential care facilities,Province of British Columbia,,1906,kelowna cres,V1C6E5,cranbrook,bc,1906 kelowna cres cranbrook bc v1c 6e5,Cranbrook,5901022,59,49.527675,-115.7416049,POINT (-115.7416049 49.527675)
1356,purdy pavilion,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6T1Z9,vancouver,bc,,Vancouver,,59,,,
1357,pure care clinic,,Ambulatory health care services,Province of British Columbia,,105-22470,dewdney trunk road,V2X5Z6,maple ridge,bc,105-22470 dewdney trunk road maple ridge bc v2x 5z6,Maple Ridge,5915075,59,49.219791,-122.600013,POINT (-122.600013 49.219791)
1358,qe park medical clinic,,Ambulatory health care services,Province of British Columbia,,4060,cambie street,V5Z2X8,vancouver,bc,4060 cambie street vancouver bc v5z 2x8,Vancouver,5915022,59,49.249473,-123.115216,POINT (-123.115216 49.249473)
1359,quadling house a,,Nursing and residential care facilities,Province of British Columbia,,820,quadling ave,V3K2A4,coquitlam,bc,820 quadling ave coquitlam bc v3k 2a4,Coquitlam,5915034,59,49.2408467,-122.8750597,POINT (-122.8750597 49.2408467)
1360,quadra village medical clinic,,Ambulatory health care services,Province of British Columbia,,2631,quadra street,V8T4E4,victoria,bc,2631 quadra street victoria bc v8t 4e4,Victoria,5917034,59,48.438086,-123.358897,POINT (-123.358897 48.438086)
1361,qualicum manor,,Nursing and residential care facilities,Province of British Columbia,,124,fourth ave e,V9K1N6,qualicum beach,bc,124 fourth ave e qualicum beach bc v9k 1n6,Qualicum Beach,5921023,59,49.3449157,-124.4405245,POINT (-124.4405245 49.3449157)
1362,quarterway place,,Nursing and residential care facilities,Province of British Columbia,,2573,labieux rd,V9T3M8,nanaimo,bc,2573 labieux rd nanaimo bc v9t 3m8,Nanaimo,5921007,59,49.1990931,-124.0121423,POINT (-124.0121423 49.1990931)
1363,queen alexandra centre for children's health,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,2400,arbutus rd,V8N1V7,victoria,bc,2400 arbutus rd. victoria bc v8n 1v7,Saanich,5917021,59,48.47151,-123.29954,POINT (-123.29954 48.47151)
1364,queen charlotte islands general hospital,general,Hospitals,Public Health Agency of Canada,,3209,third ave,V0T1M0,queen charlotte,bc,3209 third ave. queen charlotte bc v0t 1m0,Queen Charlotte,5947026,59,53.254641,-132.072632,POINT (-132.072632 53.254641)
1365,queen victoria hospital,,Hospitals,Province of British Columbia,,1200,newlands road,V0E2S0,revelstoke,bc,1200 newlands road revelstoke bc v0e 2s0,Revelstoke,5939019,59,50.976799,-118.191902,POINT (-118.191902 50.976799)
1366,queen victoria hospital and health centre,general,Hospitals,Public Health Agency of Canada,,1200,newlands rd,V0E2S0,revelstoke,bc,1200 newlands rd. revelstoke bc v0e 2s0,Revelstoke,5939019,59,50.9768022,-118.1901401,POINT (-118.1901401 50.9768022)
1367,queen's park healthcare foundation,,Hospitals,Canadian Institute for Health Information,,315,mcbride boulevard,V3L5E8,new westminster,bc,315 mcbride boulevard new westminster bc v3l 5e8 canada,New Westminster,5915029,59,49.216899,-122.902275,POINT (-122.902275 49.216899)
1368,queens park & fellburn care centres fellburn care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,V5B1R6,burnaby,bc,,Burnaby,,59,,,
1369,queens park & fellburn care centres queens park care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,V3L5E8,new westminster,bc,,New Westminster,,59,,,
1370,quince street residence,,Nursing and residential care facilities,Province of British Columbia,,2012,quince st,V2L5B4,prince george,bc,2012 quince st prince george bc v2l 5b4,Prince George,5953023,59,53.905294,-122.75337,POINT (-122.75337 53.905294)
1371,quinsam medical group,,Ambulatory health care services,Province of British Columbia,,801,hilchey road,V9W0A2,campbell river,bc,801 hilchey road campbell river bc v9w 0a2,Campbell River,5924034,59,49.973673,-125.245769,POINT (-125.245769 49.973673)
1372,r.w. large memorial hospital,general,Hospitals,Public Health Agency of Canada,,88,waglisla st,V0T1Z0,waglisla,bc,88 waglisla st. waglisla bc v0t 1z0,Bella Bella 1,5945801,59,52.1612727,-128.143339,POINT (-128.143339 52.1612727)
1373,racing residence,,Nursing and residential care facilities,Province of British Columbia,,464,racing rd,V2J5G9,quesnel,bc,464 racing rd quesnel bc v2j 5g9,Quesnel,5941013,59,52.9849646,-122.4493146,POINT (-122.4493146 52.9849646)
1374,radcliffe residence,,Nursing and residential care facilities,Province of British Columbia,,501,radcliffe dr,V2M3N5,prince george,bc,501 radcliffe dr prince george bc v2m 3n5,Prince George,5953023,59,53.9284291,-122.7936192,POINT (-122.7936192 53.9284291)
1375,rai medical clinic,,Ambulatory health care services,Province of British Columbia,,101-6905,120 street,V4E2A8,delta,bc,101-6905 120th street delta bc v4e 2a8,Delta,5915011,59,49.128771,-122.89095,POINT (-122.89095 49.128771)
1376,rainbow lodge,,Nursing and residential care facilities,Province of British Columbia,,7510,6 st,V3N3M1,burnaby,bc,7510 6th st burnaby bc v3n 3m1,Burnaby,5915025,59,49.2238303,-122.9332908,POINT (-122.9332908 49.2238303)
1377,rainbow manor,,Nursing and residential care facilities,Province of British Columbia,,10118,159a st,V4N2P9,surrey,bc,10118 159a st surrey bc v4n 2p9,Surrey,5915004,59,49.1856298,-122.838137,POINT (-122.838137 49.1856298)
1378,rainbow ridge special care home,,Nursing and residential care facilities,Province of British Columbia,,10666,277 st,V2W1M7,maple ridge,bc,10666 277th st maple ridge bc v2w 1m7,Maple Ridge,5915075,59,49.1956597,-122.4531146,POINT (-122.4531146 49.1956597)
1379,randall house,,Nursing and residential care facilities,Province of British Columbia,,6610,gilley ave,V5C5T5,burnaby,bc,6610 gilley ave burnaby bc v5c 5t5,Burnaby,5915025,59,49.2239136,-122.9716122,POINT (-122.9716122 49.2239136)
1380,raven house,,Nursing and residential care facilities,Province of British Columbia,,841,levis st,V3J6A2,coquitlam,bc,841 levis st coquitlam bc v3j 6a2,Coquitlam,5915034,59,49.2653533,-122.8474036,POINT (-122.8474036 49.2653533)
1381,redfern home,,Nursing and residential care facilities,Province of British Columbia,,937,redfern st,V8S4E7,victoria,bc,937 redfern st victoria bc v8s 4e7,Victoria,5917034,59,48.4223205,-123.3238702,POINT (-123.3238702 48.4223205)
1382,redonda crescent residence,,Nursing and residential care facilities,Province of British Columbia,,4728,redonda avenue,V8A5C9,powell river,bc,4728 redonda avenue powell river bc v8a 5c9,Powell River,5927008,59,49.844051,-124.513203,POINT (-124.513203 49.844051)
1383,renaissance place,,Nursing and residential care facilities,Province of British Columbia,,32849,12 ave,V2V2M5,mission,bc,32849 12th ave mission bc v2v 2m5,Mission,5909056,59,49.1444793,-122.3151715,POINT (-122.3151715 49.1444793)
1384,renfrew care centre,,Nursing and residential care facilities,Province of British Columbia,,1880,renfrew st,V5M3H9,vancouver,bc,1880 renfrew st vancouver bc v5m 3h9,Vancouver,5915022,59,49.26786,-123.044,POINT (-123.044 49.26786)
1385,renfrew house,,Nursing and residential care facilities,Province of British Columbia,,3402,worthington dr,V5M3X8,vancouver,bc,3402 worthington dr vancouver bc v5m 3x8,Vancouver,5915022,59,49.254322,-123.0301071,POINT (-123.0301071 49.254322)
1386,residence at morgan heights,,Nursing and residential care facilities,Province of British Columbia,,15955,27 ave,V3S3W3,surrey,bc,15955 27th ave surrey bc v3s 3w3,Surrey,5915004,59,49.051717,-122.779794,POINT (-122.779794 49.051717)
1387,residences for independent living society false creek residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6H3R1,vancouver,bc,,Vancouver,,59,,,
1388,residences for independent living society steveston residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V7E1S6,richmond,bc,,Richmond,,59,,,
1389,rest haven lodge,,Nursing and residential care facilities,Province of British Columbia,,2281,mills rd,V8L2C3,sidney,bc,2281 mills rd sidney bc v8l 2c3,Sidney,5917010,59,48.654974,-123.40484,POINT (-123.40484 48.654974)
1390,retirement concepts,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6E3V7,vancouver,bc,,Vancouver,,59,,,
1391,retirement concepts beacon hill villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V1V1,victoria,bc,,Victoria,,59,,,
1392,retirement concepts comox valley seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9N7J3,courtenay,bc,,Courtenay,,59,,,
1393,retirement concepts dufferin care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3B7X5,coquitlam,bc,,Coquitlam,,59,,,
1394,retirement concepts guildford seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3R1R3,surrey,bc,,Surrey,,59,,,
1395,retirement concepts kamloops seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1S2B3,kamloops,bc,,Kamloops,,59,,,
1396,retirement concepts maple ridge seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2X2Y7,maple ridge,bc,,Maple Ridge,,59,,,
1397,retirement concepts nanaimo seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9V1T8,nanaimo,bc,,Nanaimo,,59,,,
1398,retirement concepts peace portal lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4A8T8,surrey,bc,,Surrey,,59,,,
1399,retirement concepts renfrew care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5M3H9,vancouver,bc,,Vancouver,,59,,,
1400,retirement concepts rosemary heights seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3S2J9,surrey,bc,,Surrey,,59,,,
1401,retirement concepts summerland seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0H1Z4,summerland,bc,,Summerland,,59,,,
1402,retirement concepts the gardens at qualicum beach,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9K2T8,qualicum beach,bc,,Qualicum Beach,,59,,,
1403,retirement concepts waverly seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2P4P2,chilliwack,bc,,Chilliwack,,59,,,
1404,retirement concepts white rock seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V4B1Z4,white rock,bc,,White Rock,,59,,,
1405,retirement concepts williams lake seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2G5N1,williams lake,bc,,Williams Lake,,59,,,
1406,revera inc. arbutus care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6L2L1,vancouver,bc,,Vancouver,,59,,,
1407,revera inc. capilano care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V7T1C4,west vancouver,bc,,West Vancouver,,59,,,
1408,revera inc. glenwarren lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8T1B3,victoria,bc,,Victoria,,59,,,
1409,revera inc. holyrood manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2X3E6,maple ridge,bc,,Maple Ridge,,59,,,
1410,revera inc. james bay care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V1L2,victoria,bc,,Victoria,,59,,,
1411,revera inc. lakeview care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5N5W4,vancouver,bc,,Vancouver,,59,,,
1412,revera inc. royal city manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3L5P8,new westminster,bc,,New Westminster,,59,,,
1413,richfield group home,,Nursing and residential care facilities,Province of British Columbia,,10591,bissett dr,V7A4K8,richmond,bc,10591 bissett dr richmond bc v7a 4k8,Richmond,5915015,59,49.1477141,-123.107216,POINT (-123.107216 49.1477141)
1414,richmond central medical clinic,,Ambulatory health care services,Province of British Columbia,,150-7997,westminster highway,V6X1A4,richmond,bc,150-7997 westminster highway richmond bc v6x 1a4,Richmond,5915015,59,49.170249,-123.136592,POINT (-123.136592 49.170249)
1415,richmond hospital,general,Hospitals,Public Health Agency of Canada,,7000,westminster hwy,V6X1A2,richmond,bc,7000 westminster hwy. richmond bc v6x 1a2,Richmond,5915015,59,49.1689707,-123.146577,POINT (-123.146577 49.1689707)
1416,richmond hospital - child health centre,,Hospitals,Province of British Columbia,,7000,westminster highway,V6X1A2,richmond,bc,7000 westminster highway richmond bc v6x 1a2,Richmond,5915015,59,49.168979,-123.146976,POINT (-123.146976 49.168979)
